OI	3150
HENRIQUE	2750
ANDRE	3850
TESTE	2650
KSDFKSD	8850
ALFACE	4150
ALFACE	3850
HENRIQUETA	15700
DILMABOLADA	48200
MAISALTOQUEODOLAR	154200
ZZZ	14800
KKKK	4050
FFF	12500
